Title,Small title,Casino,Tnc
15 FREE SPINS on Starburst or Immortal Romance,Registration No Deposit Bonus,Slotnite Casino,"Wagering requirements: 35x (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Keno 100%, Scratch cards 100%, Jackpot games 0%.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 35-times to convert it into real money.If you win $0.15 from free spins, you will then have to wager $5.25 ($0.15 * 35) to convert it.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Keno 100%, Scratch cards 100%, Jackpot games 0%.
Value of free spins: $0.15 (15 spins at $0.01 per spin)This bonus consists of 15 free spins, each of which has a value of 0.01. Therefore, this free spins bonus has a total value of $0.15.
Maximum cashout: $50, Maximum bet: $5The amount of money you can withdraw from your free spins winnings is limited to $50. Any winnings over this limit will be forfeited.You cannot bet more than $5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
Bonus expiration: 10 daysYou will have 10 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
The process of getting this bonus should be virtually INSTANTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.
Terms and conditionsNew players only18+, rgf.org.mt (Responsible Gaming Foundation)Terms apply, please gamble responsibly"
"200% up to €10,000 and up to 50 extra spins (€0.1/spin)",1st Deposit Bonus,Bitubet Casino,"Minimum deposit: €20, Maximum cashout: UnlimitedYou need to deposit at least €20 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 60x deposit (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Betting 50%, Live games 50%.You will have to wager 60-times the value of your deposit to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €200 bonus, you will have to wager €6,000 in total (€100 * 60) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Betting 50%, Live games 50%.
Maximum bet: €5You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 14 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 14 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: up to 50 spins on various games, €0.1 per spin (up to €5 total value)Alongside this deposit bonus, you will also get up to 50 free spins. Each free spin has a value of €0.1, which means that the free spins add up to €5 to the value of this bonus.
Free spins conditions: 35x WR, 7-day expirationThe amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 35-times to convert it into real money.If you win €5 from free spins, you will then have to wager €175 (€5 * 35) to convert it.You will have 7 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
Terms and conditionsEvery time a player needs to wager their initial deposit, 6 times 20% of the initial deposit is credited as cash.Many excluded games, read the terms carefully.New Players OnlyFull Terms apply18+"
30 FREE SPINS on Clover Gold,Registration No Deposit Bonus,TrebolPlay Casino,"Wagering requirements: No wagering needed (restrictions apply)This bonus can only be used on these types of casino games: Slots.Winnings from free spins will be added to your account as real money, which you can cash out without any wagering requirements.This bonus can only be used on these types of casino games: Slots.
Value of free spins: €3 (30 spins at €0.1 per spin)This bonus consists of 30 free spins, each of which has a value of 0.1. Therefore, this free spins bonus has a total value of €3.
Maximum cashout: €50, Maximum bet: €5The amount of money you can withdraw from your free spins winnings is limited to €50. Any winnings over this limit will be forfeited.You cannot bet more than €5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be virtually INSTANTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.
Terms and conditionsNew players onlyFull Terms apply18+"
100% up to $100 and 100 extra spins ($0.1/spin),1st Deposit Bonus,ApuestaMos Casino,"Minimum deposit: $10, Maximum cashout: $500You need to deposit at least $10 to be eligible for this bonus.The maximum amount of money you can withdraw from this bonus is limited to $500. If you win more than that, the exceeding amount will be forfeited.
Wagering requirements: 35x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.You will have to wager 35-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit $100 and get a $100 bonus, you will have to wager $3,500 in total ($100 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Blackjack 0%, Video poker 0%, Baccarat 0%.
Maximum bet: $3.99 or 14% of starting bonus value (lower value applies)You cannot bet more than $3.99 or 14% of the intitial value of your bonus while playing with bonus funds. The lower of the two values applies. If you get a $100 bonus, your maximum bet will be $3.99, because it is lower than $14 (14% of $100). If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be virtually INSTANT, Bonus expiration: 21 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.The bonus expires 21 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 100 spins on Fire Joker, $0.1 per spin ($10 total value)Alongside this deposit bonus, you will also get 100 free spins that can be used on Fire Joker. Each free spin has a value of $0.1, which means that the free spins add $10 to the value of this bonus.
Free spins conditions: 35x WR, $100 max cashout, 1-day expirationThe amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 35-times to convert it into real money.If you win $10 from free spins, you will then have to wager $350 ($10 * 35) to convert it.The amount of money you can withdraw from your free spins winnings is limited to $100. Any winnings over this limit will be forfeited.You will have 1 day to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
Terms and conditionsFull Terms apply18+, rgf.org.mt (Responsible Gaming Foundation)New players onlyWelcome bonus can be used just once in Aspire Global group casinosDeposits made with Skrill or Neteller carry a max bet restriction of less than €2.50Game weighting and exclusions apply"
50 FREE SPINS on Aztec Gems,Registration No Deposit Bonus,ZigZagSport Casino,"Warnings (1)Casino operates without a licenseThis casino operates without a license. As a result, the casino does not have to follow rules set by licensing authorities. Additionally, you will not be able to turn to any licensing authority if you run into issues.
Wagering requirements: 40x (restrictions apply)This bonus can only be used on these types of casino games: Slots.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 40-times to convert it into real money.If you win $2.5 from free spins, you will then have to wager $100 ($2.5 * 40) to convert it.This bonus can only be used on these types of casino games: Slots.
Value of free spins: $2.5 (50 spins at $0.05 per spin)This bonus consists of 50 free spins, each of which has a value of 0.05. Therefore, this free spins bonus has a total value of $2.5.
Maximum cashout: $50, Maximum bet: $10The amount of money you can withdraw from your free spins winnings is limited to $50. Any winnings over this limit will be forfeited.You cannot bet more than $10 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
Bonus expiration: 14 daysYou will have 14 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsNew players only18+Full Terms applyEmail verification is requiredIn case this game will not be available for the player's country - free spins will be credited in another game with the same amount"
100% up to $500,1st Deposit Bonus,GTBets Casino,"Minimum deposit: $35, Maximum cashout: UnlimitedYou need to deposit at least $35 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 30x (bonus + deposit) (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Table games 50%, Baccarat 0%, Craps and dice 0%.You will have to wager 30-times the sum of your bonus and deposit to clear the bonus and be able to withdraw your winnings.For example, if you deposit $100 and get a $100 bonus, you will have to wager $6,000 in total ($200 * 30) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Table games 50%, Baccarat 0%, Craps and dice 0%.
Maximum bet: 50% of starting bonus valueYou cannot bet more than 50% of the intitial value of your bonus while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.If the initial value of your bonus is $100, your maximum bet for the entire duration of playing with bonus funds will be $50 (50% of $100).
The process of getting this bonus should be virtually INSTANTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.
Terms and conditionsNew players onlyTerms apply, please gamble responsiblyThe 50% bonus will not be offered on the second deposit if a withdrawal is received after the initial depositGame weighting and exclusions apply18+"
15 FREE SPINS on Coin Quest,Registration No Deposit Bonus,CryptoZpin Casino,"Warnings (1)Casino may confiscate money from dormant accountsThis casino deducts the entire balance (or a very large regular dormant account fee) from player accounts that have been inactive for a short period of time (3 to 6 months).
Wagering requirements: 35x (restrictions apply)This bonus can only be used on these types of casino games: Slots.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 35-times to convert it into real money.If you win €1.5 from free spins, you will then have to wager €52.5 (€1.5 * 35) to convert it.This bonus can only be used on these types of casino games: Slots.
Value of free spins: €1.5 (15 spins at €0.1 per spin)This bonus consists of 15 free spins, each of which has a value of 0.1. Therefore, this free spins bonus has a total value of €1.5.
Maximum cashout: €20The amount of money you can withdraw from your free spins winnings is limited to €20. Any winnings over this limit will be forfeited.
Bonus expiration: 7 daysYou will have 7 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsPhone verification neededDeposit is mandatory for any withdrawal request (Wagering requirements: 10x)New players onlyFull Terms apply18+"
100% up to €111 and 33 extra spins ($0.1/spin),1st Deposit Bonus,Maneki Casino,"Minimum deposit: €10, Maximum cashout: Unlimited, Excluded payment methods: Neteller, SkrillYou need to deposit at least €10 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.If you deposit using Neteller or Skrill, you will not be eligible to receive this bonus, or your winnings may be voided afterwards.
Wagering requirements: 45x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Scratch cards 100%, Video poker 0%, Live games 0%, Table games 0%.You will have to wager 45-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €100 bonus, you will have to wager €4,500 in total (€100 * 45) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Scratch cards 100%, Video poker 0%, Live games 0%, Table games 0%.
Maximum bet: $5You cannot bet more than $5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 14 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 14 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 33 spins on Big Win Cat, $0.1 per spin ($3.3 total value)Alongside this deposit bonus, you will also get 33 free spins that can be used on Big Win Cat. Each free spin has a value of $0.1, which means that the free spins add $3.3 to the value of this bonus.
Free spins conditions: 45x WR, 7-day expirationThe amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 45-times to convert it into real money.If you win $3.3 from free spins, you will then have to wager $148.5 ($3.3 * 45) to convert it.You will have 7 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
Terms and conditions18+, rgf.org.mt (Responsible Gaming Foundation)Free spins must be activated within 3 days after they have been receivedDeposit amount must be wagered 3 timesNew players onlyTerms apply, please gamble responsiblyIf you make a minimum deposit of 50€, you will receive additional 33 free spins Multiple games are excluded from the bonus offerFree spins must be activated in 3 days after deposit"
30 FREE SPINS on Golden Sheila,Registration No Deposit Bonus,Punt Casino,"Wagering requirements: 40x (restrictions apply)This bonus can only be used on these types of casino games: Slots, Keno.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 40-times to convert it into real money.If you win $3 from free spins, you will then have to wager $120 ($3 * 40) to convert it.This bonus can only be used on these types of casino games: Slots, Keno.
Value of free spins: $3 (30 spins at $0.1 per spin)This bonus consists of 30 free spins, each of which has a value of 0.1. Therefore, this free spins bonus has a total value of $3.
Maximum cashout: $100The amount of money you can withdraw from your free spins winnings is limited to $100. Any winnings over this limit will be forfeited.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsNew players onlyFull Terms applySpins must be played first before switching gamesGame weighting and exclusions applyPlayers can withdraw no more than, nor less than $100 from the bonus21+"
100% up to A$225 and 250 extra spins (A$0.1/spin),1st Deposit Bonus,NineCasino,"Warnings (1)Casino may confiscate money from dormant accountsThis casino deducts the entire balance (or a very large regular dormant account fee) from player accounts that have been inactive for a certain period of time (24 to 36 months).
Minimum deposit: A$20, Maximum cashout: UnlimitedYou need to deposit at least A$20 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 35x (bonus + deposit) (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 5%, Video poker 5%, Other card games 5%, Live games 0%.You will have to wager 35-times the sum of your bonus and deposit to clear the bonus and be able to withdraw your winnings.For example, if you deposit A$100 and get a A$100 bonus, you will have to wager A$7,000 in total (A$200 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 5%, Video poker 5%, Other card games 5%, Live games 0%.
Sticky bonusThe initial bonus value will be deducted from your account when making a withdrawal.If you deposit A$100 and get a A$100 bonus, A$100 will be deducted from your account when you make a withdrawal.
Maximum bet: A$7.5You cannot bet more than A$7.5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 250 spins on various games, A$0.1 per spin (A$25 total value)Alongside this deposit bonus, you will also get 250 free spins. Each free spin has a value of A$0.1, which means that the free spins add A$25 to the value of this bonus.
Free spins conditions: 35x WR, A$75 max cashout, 50 spins per day, 7-day expirationThe amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 35-times to convert it into real money.If you win A$25 from free spins, you will then have to wager A$875 (A$25 * 35) to convert it.The amount of money you can withdraw from your free spins winnings is limited to A$75. Any winnings over this limit will be forfeited.You can only use 50 free spins daily. This means that it will take you 5 days to play all 250 of your free spins.You will have 7 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
Terms and conditionsFull Terms apply18+New players onlyAvailable for 1 claim per IP address Multiple games are excluded from the bonus offerFree spins must be activated within 3 days after they have been received"
50 FREE SPINS on Genius Bingo,Registration No Deposit Bonus,Lucky Nugget Casino,"Wagering requirements: 70x (restrictions apply)This bonus can only be used on these types of casino games: Slots.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 70-times to convert it into real money.If you win $5 from free spins, you will then have to wager $350 ($5 * 70) to convert it.This bonus can only be used on these types of casino games: Slots.
Value of free spins: $5 (50 spins at $0.1 per spin)This bonus consists of 50 free spins, each of which has a value of 0.1. Therefore, this free spins bonus has a total value of $5.
Maximum cashout: $20, Maximum bet: $8The amount of money you can withdraw from your free spins winnings is limited to $20. Any winnings over this limit will be forfeited.You cannot bet more than $8 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be virtually INSTANTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.
Terms and conditionsThis is a “play now, deposit later” free spin offer. Players claim the free spins first and if they like the amount of winnings, they will need to make a minimum deposit to start the wagering and redeem the winningsMinimum deposit $/€10 required to start to wager the winningsFull Terms applyNew players only18+, rgf.org.mt (Responsible Gaming Foundation)"
100% up to €200,1st Deposit Bonus,Golden Euro Casino,"Minimum deposit: €20, Maximum cashout: UnlimitedYou need to deposit at least €20 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 30x (bonus + deposit) (restrictions apply)This bonus can only be used on these types of casino games: Slots.You will have to wager 30-times the sum of your bonus and deposit to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €100 bonus, you will have to wager €6,000 in total (€200 * 30) before being allowed to make a withdrawal.This bonus can only be used on these types of casino games: Slots.
Maximum bet: €10You cannot bet more than €10 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 365 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 365 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditions18+New players onlyTerms apply, please gamble responsibly"
€5 NO DEPOSIT BONUS,Registration No Deposit Bonus,Galactic Wins Casino,"Wagering requirements: 60x (restrictions apply)This bonus can only be used on these types of casino games: Slots.You will have to wager €300 (60-times the bonus value) to clear the bonus and be able to withdraw your winnings.This bonus can only be used on these types of casino games: Slots.
Maximum cashout: €100The maximum amount of money you can withdraw from this bonus is limited to €100. If you win more than that, the exceeding amount will be forfeited.
Sticky bonusThe initial bonus value will be deducted from your account when making a withdrawal.If you win €25 from this bonus, you will only be allowed to cash out €20.
Maximum bet: €4 or 10% of starting bonus value (lower value applies)You cannot bet more than €4 or 10% of the intitial value of your bonus while playing with bonus funds.The lower of the two values applies. This bonus has a value of €5, so your maximum bet will be €0.5 (10% of €5), because it is lower than €4. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditionsEmail verification is requiredDeposit is mandatory for any withdrawal requests"
100% up to $888,1st Deposit Bonus,Reel Spin Casino,"Minimum deposit: $35, Maximum cashout: UnlimitedYou need to deposit at least $35 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 30x (bonus + deposit) (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Keno 100%, Scratch cards 100%, Roulette 40%, Video poker 20%, Blackjack 10%, Baccarat 10%, Live games 0%.You will have to wager 30-times the sum of your bonus and deposit to clear the bonus and be able to withdraw your winnings.For example, if you deposit $100 and get a $100 bonus, you will have to wager $6,000 in total ($200 * 30) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Keno 100%, Scratch cards 100%, Roulette 40%, Video poker 20%, Blackjack 10%, Baccarat 10%, Live games 0%.
Sticky bonusThe initial bonus value will be deducted from your account when making a withdrawal.If you deposit $100 and get a $100 bonus, $100 will be deducted from your account when you make a withdrawal.
Maximum bet: $10You cannot bet more than $10 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 60 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 60 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditionsNew players only21+Terms apply, please gamble responsiblyReal money is played first - the bonus amount can only be played if the real balance has reached zeroAvailable for 1 claim per IP addressGame weighting and exclusions apply"
25 FREE SPINS on Diamond Bar,New Game Promo Bonus,Bingo Billy Casino,"Warnings (1)Very low withdrawal limitThis casino has a very low monthly withdrawal limit, which means that if you happen to win a larger sum of money, it will take a much longer time to withdraw the winnings from your account.
Wagering requirements: No wagering needed (restrictions apply)This bonus can only be used on these types of casino games: Slots.Winnings from free spins will be added to your account as real money, which you can cash out without any wagering requirements.This bonus can only be used on these types of casino games: Slots.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsFull Terms applyNew players only18+Read the bonus terms and conditions carefully"
100% up to A$150 and 250 extra spins (A$0.1/spin),1st Deposit Bonus,Bruno Casino,"Warnings (1)Casino may confiscate money from dormant accountsThis casino deducts the entire balance (or a very large regular dormant account fee) from player accounts that have been inactive for a certain period of time (24 to 36 months).
Minimum deposit: A$20, Maximum cashout: UnlimitedYou need to deposit at least A$20 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.
Wagering requirements: 35x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 5%, Blackjack 5%, Video poker 5%, Baccarat 5%, Live games 0%.You will have to wager 35-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit A$100 and get a A$100 bonus, you will have to wager A$3,500 in total (A$100 * 35) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 5%, Blackjack 5%, Video poker 5%, Baccarat 5%, Live games 0%.
Maximum bet: A$7.5You cannot bet more than A$7.5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be virtually INSTANT, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is more or less instant.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 250 spins on various games, A$0.1 per spin (A$25 total value)Alongside this deposit bonus, you will also get 250 free spins. Each free spin has a value of A$0.1, which means that the free spins add A$25 to the value of this bonus.
Free spins conditions: 35x WR, A$80 max cashout, 50 spins per day, 7-day expirationThe amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 35-times to convert it into real money.If you win A$25 from free spins, you will then have to wager A$875 (A$25 * 35) to convert it.The amount of money you can withdraw from your free spins winnings is limited to A$80. Any winnings over this limit will be forfeited.You can only use 50 free spins daily. This means that it will take you 5 days to play all 250 of your free spins.You will have 7 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
Terms and conditions18+New players onlyFull Terms applyThe maximum bet amount depends on the gambling genreReal money is played first - the bonus amount can only be played if the real balance has reached zeroFree spins must be activated in 3 days after deposit Multiple games are excluded from the bonus offer"
222 FREE SPINS on Starburst,Registration No Deposit Bonus,Kaktuz Casino,"Warnings (2)Casino may confiscate money from dormant accountsThis casino deducts the entire balance (or a very large regular dormant account fee) from player accounts that have been inactive for a certain period of time (6 to 12 months).Casino operates without a licenseThis casino operates without a license. As a result, the casino does not have to follow rules set by licensing authorities. Additionally, you will not be able to turn to any licensing authority if you run into issues.
Wagering requirements: 50x (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Table games 0%.The amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 50-times to convert it into real money.If you win €88.8 from free spins, you will then have to wager €4,440 (€88.8 * 50) to convert it.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Roulette 0%, Table games 0%.
Value of free spins: €88.8 (222 spins at €0.4 per spin)This bonus consists of 222 free spins, each of which has a value of 0.4. Therefore, this free spins bonus has a total value of €88.8.
Maximum cashout: $50The amount of money you can withdraw from your free spins winnings is limited to $50. Any winnings over this limit will be forfeited.
The process of getting this bonus should be relatively FASTAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.
Terms and conditionsFree spins must be activated in the account within 24 hours of registrationNew players onlyTerms apply, please gamble responsibly18+Email verification is required"
100% up to €111 and 33 extra spins ($0.1/spin),1st Deposit Bonus,Maneki Casino,"Minimum deposit: €10, Maximum cashout: Unlimited, Excluded payment methods: Neteller, SkrillYou need to deposit at least €10 to be eligible for this bonus.This bonus does not have a maximum cashout limit. There may be other limits in place though, like a general win limit or withdrawal limit that applies to all players in this casino.If you deposit using Neteller or Skrill, you will not be eligible to receive this bonus, or your winnings may be voided afterwards.
Wagering requirements: 45x bonus (restrictions apply)Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Scratch cards 100%, Video poker 0%, Live games 0%, Table games 0%.You will have to wager 45-times the bonus value to clear the bonus and be able to withdraw your winnings.For example, if you deposit €100 and get a €100 bonus, you will have to wager €4,500 in total (€100 * 45) before being allowed to make a withdrawal.Some types of games have a decreased contribution towards the wagering requirements: Slots 100%, Scratch cards 100%, Video poker 0%, Live games 0%, Table games 0%.
Maximum bet: $5You cannot bet more than $5 while playing with bonus funds. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 14 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 14 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Free spins: 33 spins on Big Win Cat, $0.1 per spin ($3.3 total value)Alongside this deposit bonus, you will also get 33 free spins that can be used on Big Win Cat. Each free spin has a value of $0.1, which means that the free spins add $3.3 to the value of this bonus.
Free spins conditions: 45x WR, 7-day expirationThe amount you win from your free spins will be added to your account as bonus funds. You then need to wager that amount 45-times to convert it into real money.If you win $3.3 from free spins, you will then have to wager $148.5 ($3.3 * 45) to convert it.You will have 7 days to play your free spins. If you don’t use them in this timeframe, your free spins will be removed from your account.
Terms and conditions18+, rgf.org.mt (Responsible Gaming Foundation)Free spins must be activated within 3 days after they have been receivedDeposit amount must be wagered 3 timesNew players onlyTerms apply, please gamble responsiblyIf you make a minimum deposit of 50€, you will receive additional 33 free spins Multiple games are excluded from the bonus offerFree spins must be activated in 3 days after deposit"
€5 NO DEPOSIT BONUS,Registration No Deposit Bonus,Boo Casino,"Wagering requirements: 60x (restrictions apply)This bonus can only be used on these types of casino games: Slots.You will have to wager €300 (60-times the bonus value) to clear the bonus and be able to withdraw your winnings.This bonus can only be used on these types of casino games: Slots.
Maximum cashout: €100The maximum amount of money you can withdraw from this bonus is limited to €100. If you win more than that, the exceeding amount will be forfeited.
Sticky bonusThe initial bonus value will be deducted from your account when making a withdrawal.If you win €25 from this bonus, you will only be allowed to cash out €20.
Maximum bet: €4 or 10% of starting bonus value (lower value applies)You cannot bet more than €4 or 10% of the intitial value of your bonus while playing with bonus funds.The lower of the two values applies. This bonus has a value of €5, so your maximum bet will be €0.5 (10% of €5), because it is lower than €4. If you break this rule, the casino may confiscate your winnings.
The process of getting this bonus should be relatively FAST, Bonus expiration: 7 daysAccording to our testers and feedback from other players that claimed this bonus, the process of getting this bonus is relatively fast.The bonus expires 7 days after being added to your account. If you don’t manage to clear the wagering requirements by then, the remaining bonus amount will be deducted from your account.
Terms and conditionsEmail verification is requiredDeposit is mandatory for any withdrawal requests"
